news_id,titulo,investigador_id,nombre,departamento,grupos,nombre_oficial
0,La nueva Junta Rectora de CRUE se reúne con el presidente del Gobierno en La Moncloa,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,IGNACIO VILLAVERDE MENENDEZ,Derecho Público,Derechos Fundamentales y Constitución,IGNACIO VILLAVERDE MENENDEZ
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,Contabilidad,Nuevas Tecnologías y Análisis Económico-financiero,JAVIER DE ANDRES SUAREZ
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,PEDRO LORCA FERNANDEZ,Contabilidad,Nuevas Tecnologías y Análisis Económico-financiero,PEDRO LORCA FERNANDEZ
2,La Universidá Asturiana de Branu incorpora la inteligencia artificial a su oferta formativa,https://portalinvestigacion.uniovi.es/investigadores/217844/detalle,CLAUDIA ELENA MENENDEZ FERNANDEZ,Filología Española,Seminario de Estudios Árabo-románicos,CLAUDIA ELENA MENENDEZ FERNANDEZ
2,La Universidá Asturiana de Branu incorpora la inteligencia artificial a su oferta formativa,https://portalinvestigacion.uniovi.es/investigadores/217909/detalle,XOSE ANTON GONZALEZ RIAÑO,Ciencias de la Educación,"Didáctica de las Lenguas, Interculturalidad y Multilingüismo en Educación",XOSE ANTON GONZALEZ RIAÑO
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,Historia,Social Landscapes,MARIA MARGARITA FERNANDEZ MIER
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217347/detalle,JOSE MANUEL GONZALEZ DIAZ,Química Orgánica e Inorgánica,Síntesis Orgánica Selectiva,JOSE MANUEL GONZALEZ DIAZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217782/detalle,CARLOS ANTONIO LOPEZ SANCHEZ,Biología de Organismos y Sistemas,Gestión Inteligente de Bosques,CARLOS ANTONIO LOPEZ SANCHEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/1010294/detalle,EMILIO FERNANDEZ VIEJO,Filología Española,Lingüística Funcional del Español,EMILIO FERNANDEZ VIEJO
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/2354604/detalle,PABLO LOPEZ FERNANDEZ,No especificado,,PABLO LOPEZ FERNANDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/1301906/detalle,ANA MARIA LOPEZ FERNANDEZ,No especificado,,ANA MARIA LOPEZ FERNANDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,GABRIELA FERNANDEZ VIEJO,Geología,Procesos Geológicos Modeladores del Relieve de la Cordillera Cantábrica,GABRIELA FERNANDEZ VIEJO
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217762/detalle,JESUS ALBERTO LOPEZ FERNANDEZ,"Ingeniería Eléctrica, Electrónica, de Comunicaciones y de Sistemas (DIEECS)",Teoría de la Señal y Comunicaciones,JESUS ALBERTO LOPEZ FERNANDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217348/detalle,MANUEL GONZALEZ DIAZ,Administración de Empresas,Grupo de Análisis Económico de Organizaciones,MANUEL GONZALEZ DIAZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217382/detalle,VICTOR MANUEL GONZALEZ MENDEZ,Administración de Empresas,Grupo de Economía Financiera,VICTOR MANUEL GONZALEZ MENDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217597/detalle,FELIX CARLOS FERNANDEZ DE CASTRO LOPEZ PATIÑO,Filología Española,Lingüística Funcional del Español,FELIX CARLOS FERNANDEZ DE CASTRO LOPEZ PATIÑO
