news_id,titulo,status,num_candidatos,num_roles,num_tripletas_raw,num_tripletas_aceptadas,num_tripletas_rechazadas
0,La nueva Junta Rectora de CRUE se reúne con el presidente del Gobierno en La Moncloa,ok,1,1,0,0,0
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,ok,2,2,2,1,1
2,La Universidá Asturiana de Branu incorpora la inteligencia artificial a su oferta formativa,ok,2,2,0,0,0
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,ok,1,1,3,0,3
4,"El 81,43% del estudiantado aprueba la PAU en la convocatoria de julio",sin_candidatos,0,0,0,0,0
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,ok,13,6,6,0,6
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,ok,11,11,2,0,2
7,La Universidad de Oviedo publica la primera lista de admisión en estudios de grado con límite de plazas para el próximo curso,sin_candidatos,0,0,0,0,0
8,Treinta estudiantes de la Universidad de Oviedo completan  su formación en EDP,ok,3,3,0,0,0
9,La Universidad de Oviedo muestra sus buenas prácticas en internacionalización en unas jornadas de CRUE,ok,10,10,4,1,3
10,La Comisión Europea asegura la financiación para la alianza INGENIUM hasta 2028,ok,1,1,0,0,0
11,Un curso de verano analizará en Piloña los últimos avances sobre la paleobiología de los neandertales,sin_candidatos,0,0,0,0,0
12,El primer estudio de la Cátedra Universitaria de Demografía revela que la pérdida de población es la segunda preocupación de los asturianos solo por detrás de la vivienda,ok,2,2,1,1,0
13,Abierta la convocatoria de ayudas de INGENIUM para la movilidad y la cosupervisión de tesis doctorales,sin_candidatos,0,0,0,0,0
14,La Universidad de Oviedo reconoce la trayectoria de los catedráticos José Antonio Cecchini y Miguel del Valle,ok,12,12,2,2,0
15,Abierto el plazo de solicitud de los Blended Intensive Programmes de INGENIUM para el curso 2026/2027,sin_candidatos,0,0,0,0,0
16,La Universidad de Oviedo reúne a especialistas internacionales para analizar el impacto de la inteligencia artificial en la enseñanza de lenguas,ok,3,3,2,0,2
17,La Universidad de Oviedo identifica especies nativas para restaurar espacios urbanos degradados,ok,4,2,4,0,4
18,"La Universidad de Oviedo desarrolla DubbiOvi, una plataforma abierta para la traducción audiovisual potenciada con inteligencia artificial",ok,3,1,2,2,0
19,El rector valora la “buena disposición” del presidente del Principado para avanzar en los principales retos de la Universidad de Oviedo,ok,1,1,2,1,1
20,Gijón reunirá a expertos internacionales en instrumentación electrónica y en gestión de la energía en el ámbito de la inteligencia artificial y el espacio durante el SAAEI 2026,ok,14,4,3,2,1
21,La Universidad de Oviedo reúne a especialistas nacionales e internacionales para analizar el futuro de las carreteras históricas como patrimonio y recurso turístico,ok,7,8,6,1,5
22,La Universidad de Oviedo recibe este verano a 300 estudiantes en sus cursos intensivos de español para extranjeros,ok,3,3,0,0,0
23,Un universitario ovetense que publicó su observación del eclipse del año 1860 da nombre al asteroide ‘14918 Gonzálezalegre’,ok,6,2,1,0,1
24,El Edificio Histórico de la Universidad de Oviedo acoge la exposición 'Tejiendo solidaridad desde la Economía Social de Asturias' de ASATA,ok,19,1,0,0,0
25,Llega el primer máster conjunto de INGENIUM: abierta la preinscripción en el Máster en Tecnología de Procesos Químicos y Bioquímicos,sin_candidatos,0,0,0,0,0
26,La Universidad de Oviedo celebra la ceremonia de graduación de 12 estudiantes de su programa universitario para mayores PUMUO,ok,12,2,0,0,0
27,La Universidad de Oviedo y el Principado impulsan la entrada de Asturias en el mapa nacional de la supercomputación,ok,4,4,2,0,2
28,1.120 estudiantes se examinan de la PAU en Asturias la próxima semana,ok,2,2,0,0,0
