news_id,titulo,investigador_id,nombre_mencionado,rol_discursivo,justificacion,evidencia,nombre_oficial
0,La nueva Junta Rectora de CRUE se reúne con el presidente del Gobierno en La Moncloa,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,Ignacio Villaverde,INSTITUTIONAL,"Ignacio Villaverde aparece en la noticia como rector de la Universidad de Oviedo y presidente de la sectorial de Secretarías Generales en la nueva dirección de CRUE, sin mencionar su actividad investigadora.","El encuentro ha contado con la participación de Ignacio Villaverde, rector de la Universidad de Oviedo y presidente de la sectorial de Secretarías Generales en la nueva dirección de CRUE.",IGNACIO VILLAVERDE MENENDEZ
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,Javier de Andrés,RESEARCH,"El investigador presenta resultados de su trabajo sobre la contabilidad de la Real Compañía Asturiana de Minas, describiendo su metodología y conclusiones.","“Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios”.",JAVIER DE ANDRES SUAREZ
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,Pedro Lorca Fernández,RESEARCH,"El investigador menciona su análisis sobre la contabilidad de la empresa minera y su relevancia histórica, lo que indica su participación en la investigación.",“La conservación de sus registros contables nos permite observar con gran detalle la realidad económica de una empresa pionera en pleno proceso de industrialización”.,PEDRO LORCA FERNANDEZ
2,La Universidá Asturiana de Branu incorpora la inteligencia artificial a su oferta formativa,https://portalinvestigacion.uniovi.es/investigadores/217844/detalle,CLAUDIA ELENA MENENDEZ FERNANDEZ,INSTITUTIONAL,"Claudia Elena Menéndez aparece como directora de la UABRA, lo que indica su rol institucional en la inauguración de la actividad.","la directora de la UABRA, Claudia Elena Menéndez, ha inaugurado esta mañana la actividad",CLAUDIA ELENA MENENDEZ FERNANDEZ
2,La Universidá Asturiana de Branu incorpora la inteligencia artificial a su oferta formativa,https://portalinvestigacion.uniovi.es/investigadores/217909/detalle,XOSE ANTON GONZALEZ RIAÑO,INSTITUTIONAL,"Xosé Antón González Riaño es mencionado como presidente de la Academia de la Llingua, lo que lo clasifica como un rol institucional.","el presidente de la Academia de la Llingua (ALLA), Xosé Antón González Riaño",XOSE ANTON GONZALEZ RIAÑO
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,Margarita Fernández Mier,MIXED,Margarita Fernández Mier es mencionada como investigadora principal del grupo y también se le atribuyen funciones de comunicación y representación institucional al invitar al público a las jornadas de puertas abiertas.,"“La presencia de visitantes no solo contribuye a difundir el conocimiento sobre el pasado de la comarca, sino que también ayuda a valorar y proteger un patrimonio que forma parte de la memoria colectiva del territorio”.",MARIA MARGARITA FERNANDEZ MIER
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,Gabriela Fernández Viejo,MIXED,Gabriela Fernández Viejo es mencionada como investigadora que lidera el estudio y también se le atribuyen funciones de representación institucional al ser catedrática.,"El estudio ha sido desarrollado por un equipo de seis investigadores del Departamento de Geología de la Universidad de Oviedo, liderado por los catedráticos Gabriela Fernández-Viejo y Sergio Llana Fúnez.",GABRIELA FERNANDEZ VIEJO
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217738/detalle,Sergio Llana Fúnez,MIXED,"Sergio Llana Fúnez es mencionado como catedrático y líder del estudio, lo que implica tanto actividad investigadora como un rol institucional.","El estudio ha sido desarrollado por un equipo de seis investigadores del Departamento de Geología de la Universidad de Oviedo, liderado por los catedráticos Gabriela Fernández-Viejo y Sergio Llana Fúnez.",SERGIO LLANA FUNEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217761/detalle,Carlos López Fernández,RESEARCH,"Carlos López Fernández es mencionado como uno de los investigadores que firmaron el estudio, lo que indica su participación en la actividad investigadora.","El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",CARLOS LOPEZ FERNANDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217782/detalle,Jorge Acevedo,RESEARCH,"Jorge Acevedo es mencionado como uno de los investigadores que firmaron el estudio, lo que indica su participación en la actividad investigadora.","El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",CARLOS ANTONIO LOPEZ SANCHEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217597/detalle,Miguel Gutiérrez-Medina,RESEARCH,"Miguel Gutiérrez-Medina es mencionado como uno de los investigadores que firmaron el estudio, lo que indica su participación en la actividad investigadora.","El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",FELIX CARLOS FERNANDEZ DE CASTRO LOPEZ PATIÑO
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217348/detalle,Juan Manuel González-Cortina,RESEARCH,"Juan Manuel González-Cortina es mencionado como uno de los investigadores que firmaron el estudio, lo que indica su participación en la actividad investigadora.","El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",MANUEL GONZALEZ DIAZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/217085/detalle,JAVIER CUEVAS MAESTRO,MIXED,Aparece como director de la tesis y se menciona su contribución en el trabajo de investigación.,"destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",FRANCISCO JAVIER CUEVAS MAESTRO
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/218879/detalle,LUIS JAVIER FERNANDEZ MENENDEZ,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",LUIS JAVIER FERNANDEZ MENENDEZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/217637/detalle,SUSANA DEL CARMEN FERNANDEZ MENENDEZ,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",SUSANA DEL CARMEN FERNANDEZ MENENDEZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/219959/detalle,JAVIER FERNANDEZ GONZALEZ,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JAVIER FERNANDEZ GONZALEZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/219035/detalle,JAVIER FERNANDEZ REYNES,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JAVIER FERNANDEZ REYNES
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/217503/detalle,FRANCISCO JAVIER FERNANDEZ RIO,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",FRANCISCO JAVIER FERNANDEZ RIO
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,MIXED,Aparece como director de la tesis y se menciona su contribución en el trabajo de investigación.,"destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JAVIER FERNANDEZ MENENDEZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/216867/detalle,JOSE RAMON ALVAREZ SAIZ,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JOSE RAMON ALVAREZ SAIZ
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/218878/detalle,JAVIER FERNANDEZ MATEOS,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JAVIER FERNANDEZ MATEOS
6,La Real Sociedad Española de Física premia la tesis doctoral de Clara Ramón Álvarez en la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/218865/detalle,JAVIER FERNANDEZ FERNANDEZ,UNCLEAR,"No se menciona su rol específico en la noticia, solo se menciona a los directores de la tesis.","destacan sus directores, Javier Cuevas y Javier Fernández Menéndez.",JAVIER FERNANDEZ FERNANDEZ
