news_id,titulo,investigador_id,verbo_superficie,relacion,topico_o_concepto,evidencia,confianza_llm,nombre_investigador
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,investigar,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"“Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios”.",0.9,JAVIER DE ANDRES SUAREZ
9,La Universidad de Oviedo muestra sus buenas prácticas en internacionalización en unas jornadas de CRUE,https://portalinvestigacion.uniovi.es/investigadores/217678/detalle,ofrecer,DESARROLLA,iniciativas de internacionalización,quienes han mostrado las principales iniciativas desarrolladas por la institución en materia de internacionalización en casa,0.85,ANA CRISTINA LAHUERTA MARTINEZ
12,El primer estudio de la Cátedra Universitaria de Demografía revela que la pérdida de población es la segunda preocupación de los asturianos solo por detrás de la vivienda,https://portalinvestigacion.uniovi.es/investigadores/218648/detalle,aportar,COLABORA_EN,reto demográfico,"“Suple la falta de datos objetivos, sólidos y representativos, aporta conocimiento sobre la opinión y las actitudes de los asturianos y muestra la complejidad del reto demográfico”.",0.9,OSCAR RODRIGUEZ PRIETO
14,La Universidad de Oviedo reconoce la trayectoria de los catedráticos José Antonio Cecchini y Miguel del Valle,https://portalinvestigacion.uniovi.es/investigadores/218896/detalle,impulsar,LIDERA,"investigación en actividad física, educación y medicina del deporte","su aportación al impulso de la investigación en actividad física, educación y medicina del deporte.",0.9,MIGUEL ENRIQUE DEL VALLE SOTO
14,La Universidad de Oviedo reconoce la trayectoria de los catedráticos José Antonio Cecchini y Miguel del Valle,https://portalinvestigacion.uniovi.es/investigadores/216978/detalle,impulsar,LIDERA,impulso a la investigación,"el agradecimiento de toda la comunidad universitaria a dos profesores cuyo legado permanecerá en la formación de nuevas generaciones, en el impulso a la investigación.",0.9,JOSE ANTONIO CECCHINI ESTRADA
18,"La Universidad de Oviedo desarrolla DubbiOvi, una plataforma abierta para la traducción audiovisual potenciada con inteligencia artificial",https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,desarrollar,DESARROLLA,DubbiOvi,DubbiOvi ha sido desarrollada por el profesor Alfonso Carlos Rodríguez Fernández-Peña,0.9,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA
18,"La Universidad de Oviedo desarrolla DubbiOvi, una plataforma abierta para la traducción audiovisual potenciada con inteligencia artificial",https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,investigar,INVESTIGA_SOBRE,traducción audiovisual,la plataforma constituye una herramienta de apoyo para proyectos de investigación relacionados con la traducción audiovisual,0.85,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA
19,El rector valora la “buena disposición” del presidente del Principado para avanzar en los principales retos de la Universidad de Oviedo,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,reforzar,COLABORA_EN,financiación universitaria,ha subrayado que la financiación universitaria debe quedar garantizada por una norma con rango de ley.,0.9,IGNACIO VILLAVERDE MENENDEZ
20,Gijón reunirá a expertos internacionales en instrumentación electrónica y en gestión de la energía en el ámbito de la inteligencia artificial y el espacio durante el SAAEI 2026,https://portalinvestigacion.uniovi.es/investigadores/218344/detalle,investigar,INVESTIGA_SOBRE,alimentación de las GPUs,"Rodríguez abordará los retos actuales relacionados con la alimentación de las GPUs, unos dispositivos fundamentales para el funcionamiento de los grandes sistemas de computación utilizados en inteligencia artificial.",0.9,MIGUEL ANGEL RODRIGUEZ DIAZ
20,Gijón reunirá a expertos internacionales en instrumentación electrónica y en gestión de la energía en el ámbito de la inteligencia artificial y el espacio durante el SAAEI 2026,https://portalinvestigacion.uniovi.es/investigadores/217584/detalle,investigar,INVESTIGA_SOBRE,sistemas de potencia para aplicaciones espaciales,Su intervención estará centrada en los sistemas de potencia necesarios para las futuras misiones espaciales tripuladas.,0.9,PABLO GARCIA FERNANDEZ
