news_id,titulo,investigador_id,verbo_superficie,relacion,topico_o_concepto,evidencia,confianza_llm,nombre_investigador
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,investigar,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"“Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios”.",0.9,JAVIER DE ANDRES SUAREZ
1,La Universidad de Oviedo reconstruye los orígenes contables de una empresa minera pionera en la industrialización asturiana,https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,investigar,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,“La conservación de sus registros contables nos permite observar con gran detalle la realidad económica de una empresa pionera en pleno proceso de industrialización”.,0.9,PEDRO LORCA FERNANDEZ
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,impulsar,LIDERA,campaña arqueológica de Cueiru,La campaña arqueológica de Cueiru está impulsada por el grupo de investigación LLABOR _ Social LANDScapes de la Universidad de Oviedo,0.9,MARIA MARGARITA FERNANDEZ MIER
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,investigar,INVESTIGA_SOBRE,historia de Cueiru,una investigación que está revelando la importancia histórica de este lugar,0.85,MARIA MARGARITA FERNANDEZ MIER
3,El grupo Llabor de la Universidad de Oviedo regresa a Cueiru para desvelar el origen de una de las ferias más antiguas del Noroeste,https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,formar,COLABORA_EN,talleres arqueológicos participativos,"se organizarán también talleres arqueológicos participativos, dirigidos especialmente al público infantil y juvenil",0.8,MARIA MARGARITA FERNANDEZ MIER
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,liderar,LIDERA,amortiguador geológico natural en los Picos de Europa,"El estudio ha sido desarrollado por un equipo de seis investigadores del Departamento de Geología de la Universidad de Oviedo, liderado por los catedráticos Gabriela Fernández-Viejo y Sergio Llana Fúnez.",0.9,GABRIELA FERNANDEZ VIEJO
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217738/detalle,liderar,LIDERA,amortiguador geológico natural en los Picos de Europa,"El estudio ha sido desarrollado por un equipo de seis investigadores del Departamento de Geología de la Universidad de Oviedo, liderado por los catedráticos Gabriela Fernández-Viejo y Sergio Llana Fúnez.",0.9,SERGIO LLANA FUNEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217761/detalle,participar,COLABORA_EN,amortiguador geológico natural en los Picos de Europa,"El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",0.9,CARLOS LOPEZ FERNANDEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217782/detalle,participar,COLABORA_EN,amortiguador geológico natural en los Picos de Europa,"El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",0.9,CARLOS ANTONIO LOPEZ SANCHEZ
5,Los Picos de Europa esconden un ‘amortiguador’ geológico natural que evita la formación de terremotos,https://portalinvestigacion.uniovi.es/investigadores/217597/detalle,participar,COLABORA_EN,amortiguador geológico natural en los Picos de Europa,"El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",0.9,FELIX CARLOS FERNANDEZ DE CASTRO LOPEZ PATIÑO
