investigador_id,nombre_investigador,relacion,topico,evidencia,news_id,verbo_superficie,topico_normalizado,topico_canonico
https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,PEDRO LORCA FERNANDEZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"""La conservación de sus registros contables nos permite observar con gran detalle la realidad económica de una empresa pionera en pleno proceso de industrialización"".",1,INVESTIGA_SOBRE,contabilidad de la real compania asturiana de minas,contabilidad de la real compañía asturiana de minas
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"""Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios"".",1,INVESTIGA_SOBRE,contabilidad de la real compania asturiana de minas,contabilidad de la real compañía asturiana de minas
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,dificultades en la obtención de datos contables,"""Cabe destacar, por último, la enorme dificultad para obtener los datos del estudio, motivada principalmente por los cambios de estilos en la escritura caligráfica"".",1,INVESTIGA_SOBRE,dificultades en la obtencion de datos contables,dificultades en la obtención de datos contables
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,archivos empresariales privados del siglo XIX,"""Son muy escasos los archivos empresariales privados de la primera mitad del siglo XIX que se han conservado con este nivel de detalle"".",1,INVESTIGA_SOBRE,archivos empresariales privados del siglo xix,archivos empresariales privados del siglo xix
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,INVESTIGA_SOBRE,historia de Cueiru,reconstruir la historia de este extraordinario lugar.,3,INVESTIGA_SOBRE,historia de cueiru,historia de cueiru
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,COLABORA_EN,proyecto ENCOMI,apoyo de la Agencia Estatal de Investigación (proyecto ENCOMI).,3,COLABORA_EN,proyecto encomi,proyecto encomi
https://portalinvestigacion.uniovi.es/investigadores/218896/detalle,MIGUEL ENRIQUE DEL VALLE SOTO,INVESTIGA_SOBRE,medicina del deporte,"su aportación al impulso de la investigación en actividad física, educación y medicina del deporte.",14,INVESTIGA_SOBRE,medicina del deporte,medicina del deporte
https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA,INVESTIGA_SOBRE,inteligencia artificial en traducción,incorpora inteligencia artificial para agilizar los procesos de traducción y adaptación de contenidos audiovisuales.,18,INVESTIGA_SOBRE,inteligencia artificial en traduccion,inteligencia artificial en traducción
https://portalinvestigacion.uniovi.es/investigadores/217678/detalle,ANA CRISTINA LAHUERTA MARTINEZ,DESARROLLA,competencia intercultural,"la lección inaugural, titulada «Interculturalidad, plurilingüismo y comunicación multimodal», a cargo de Rosabel San Segundo Cachero, profesora del Área de Lengua Española del Departamento de Filología Española.",22,DESARROLLA,competencia intercultural,competencia intercultural
https://portalinvestigacion.uniovi.es/investigadores/217370/detalle,CARLOS GONZALEZ GUTIERREZ,DESARROLLA,herramientas tecnológicas,"...destaca el avance del Campus Digital Compartido, que continúa desarrollando herramientas tecnológicas comunes para las universidades del consorcio...",29,DESARROLLA,herramientas tecnologicas,herramientas tecnológicas
https://portalinvestigacion.uniovi.es/investigadores/217233/detalle,ANDRE CARRASCAL INCERA,COLABORA_EN,Cátedra de Innovación,"El director de la Cátedra de Innovación, Fernando Rubiera, y profesor de la universidad e investigador de la Cátedra André Carrascal han presentado el informe.",32,COLABORA_EN,catedra de innovacion,cátedra de innovación
https://portalinvestigacion.uniovi.es/investigadores/219668/detalle,FERNANDO RUBIERA MOROLLON,COLABORA_EN,Cátedra de Innovación,"El director de la Cátedra de Innovación, Fernando Rubiera, y profesor de la universidad e investigador de la Cátedra André Carrascal han presentado el informe.",32,COLABORA_EN,catedra de innovacion,cátedra de innovación
https://portalinvestigacion.uniovi.es/investigadores/217775/detalle,ALFONSO JOAQUIN LOPEZ MUÑIZ,DESARROLLA,ciencia y tecnología,"la conferencia “Pasaporte al futuro: la gran aventura de la ciencia y la tecnología”, impartida por Amador Menéndez Velázquez, licenciado y doctor en Química por la Universidad de Oviedo, Socio de Honor de Compromiso Asturias (2013), investigador y divulgador científico de IDONIAL.",45,DESARROLLA,ciencia y tecnologia,ciencia y tecnología
