investigador_id,nombre_investigador,relacion,topico,evidencia,noticia_index
https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,IGNACIO VILLAVERDE MENENDEZ,COLABORA_EN,financiación pública de las universidades,"El encuentro ha permitido abordar cuestiones como la financiación pública de las universidades, el problema del alojamiento universitario, la inteligencia artificial y su impacto en las universidades y la necesidad de continuar con programas de apoyo a la transformación digital de las universidades.",0
https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,IGNACIO VILLAVERDE MENENDEZ,COLABORA_EN,inteligencia artificial,"se han abordado algunos de los principales desafíos que afronta la universidad española: la financiación pública de las universidades, el nuevo marco financiero plurianual de la UE y el peso que debe tener en la financiación de las universidades y la ciencia, el problema del alojamiento universitario, y la inteligencia artificial y su impacto en las universidades.",0
https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,IGNACIO VILLAVERDE MENENDEZ,COLABORA_EN,transformación digital de las universidades,la necesidad de continuar con programas de apoyo a la transformación digital de las universidades.,0
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"La investigación, realizada por el Departamento de Contabilidad de la Universidad de Oviedo, ha sido publicada en la revista científica Revista de Contabilidad - Spanish Accounting Review.",1
https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,PEDRO LORCA FERNANDEZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"“La conservación de sus registros contables nos permite observar con gran detalle la realidad económica de una empresa pionera en pleno proceso de industrialización”, añade el investigador.",1
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,sistema de contabilidad por partida simple,"“Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios”, explica Javier de Andrés.",1
https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,PEDRO LORCA FERNANDEZ,INVESTIGA_SOBRE,sistema de contabilidad por partida simple,"“La recuperación y análisis de esta documentación ha supuesto un importante reto metodológico”, destaca Manuel Fuente Bayón.",1
https://portalinvestigacion.uniovi.es/investigadores/217909/detalle,XOSE ANTON GONZALEZ RIAÑO,COLABORA_EN,inteligencia artificial,un tercero que versa sobre inteligencia artificial para aplicar en el aula de llingua asturiana,2
https://portalinvestigacion.uniovi.es/investigadores/217844/detalle,CLAUDIA ELENA MENENDEZ FERNANDEZ,COLABORA_EN,inteligencia artificial,un tercero que versa sobre inteligencia artificial para aplicar en el aula de llingua asturiana,2
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,LIDERA,arqueología,"“La presencia de visitantes no solo contribuye a difundir el conocimiento sobre el pasado de la comarca, sino que también ayuda a valorar y proteger un patrimonio que forma parte de la memoria colectiva del territorio”",3
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,INVESTIGA_SOBRE,historia de Cueiru,"“La invitación está abierta a todo el público. Quienes se acerquen a Cueiru podrán contemplar de cerca una investigación que está revelando la importancia histórica de este lugar y que, campaña tras campaña, sigue sacando a la luz nuevas páginas de la historia de Asturias”",3
https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,GABRIELA FERNANDEZ VIEJO,LIDERA,amortiguador geológico natural,"El trabajo ha sido desarrollado por seis investigadores del Departamento de Geología, liderados por los catedráticos Sergio Llana-Fúnez y Gabriela Fernández-Viejo.",5
https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,GABRIELA FERNANDEZ VIEJO,INVESTIGA_SOBRE,silencio sísmico,"El estudio identifica materiales poco rígidos bajo las grandes masas calizas del macizo que absorben y disipan los esfuerzos tectónicos, lo que evita la generación de terremotos.",5
https://portalinvestigacion.uniovi.es/investigadores/217762/detalle,JESUS ALBERTO LOPEZ FERNANDEZ,LIDERA,amortiguador geológico natural,"El trabajo ha sido desarrollado por seis investigadores del Departamento de Geología, liderados por los catedráticos Sergio Llana-Fúnez y Gabriela Fernández-Viejo.",5
https://portalinvestigacion.uniovi.es/investigadores/217762/detalle,JESUS ALBERTO LOPEZ FERNANDEZ,INVESTIGA_SOBRE,silencio sísmico,"El estudio identifica materiales poco rígidos bajo las grandes masas calizas del macizo que absorben y disipan los esfuerzos tectónicos, lo que evita la generación de terremotos.",5
https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,GABRIELA FERNANDEZ VIEJO,COLABORA_EN,sismicidad de la zona,"Los resultados del trabajo, publicados en la revista científica internacional Tectonophysics, ayudan a explicar por qué esta zona constituye uno de los sectores con menor actividad sísmica de toda la Cordillera Cantábrica.",5
https://portalinvestigacion.uniovi.es/investigadores/217762/detalle,JESUS ALBERTO LOPEZ FERNANDEZ,COLABORA_EN,sismicidad de la zona,"Los resultados del trabajo, publicados en la revista científica internacional Tectonophysics, ayudan a explicar por qué esta zona constituye uno de los sectores con menor actividad sísmica de toda la Cordillera Cantábrica.",5
https://portalinvestigacion.uniovi.es/investigadores/217085/detalle,FRANCISCO JAVIER CUEVAS MAESTRO,LIDERA,acoplamiento del quark top y el bosón de Higgs,su contribución pionera al estudio experimental del acoplamiento del quark top y el bosón de Higgs,6
https://portalinvestigacion.uniovi.es/investigadores/217085/detalle,FRANCISCO JAVIER CUEVAS MAESTRO,COLABORA_EN,Grupo de Física Experimental de Altas Energías,agradece la implicación de sus directores y del Grupo de Física Experimental de Altas Energías del ICTEA,6
https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,LIDERA,acoplamiento del quark top y el bosón de Higgs,su contribución pionera al estudio experimental del acoplamiento del quark top y el bosón de Higgs,6
https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,COLABORA_EN,Grupo de Física Experimental de Altas Energías,agradece la implicación de sus directores y del Grupo de Física Experimental de Altas Energías del ICTEA,6
https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,IGNACIO VILLAVERDE MENENDEZ,COLABORA_EN,formación práctica,la colaboración con EDP es un ejemplo de la importancia que tiene la relación entre universidad y empresa,8
https://portalinvestigacion.uniovi.es/investigadores/217944/detalle,SANTIAGO MARTIN GONZALEZ,DESARROLLA,becas Martín González del Valle,Las becas Martín González del Valle son fruto de la colaboración entre EDP y la Universidad de Oviedo.,8
https://portalinvestigacion.uniovi.es/investigadores/217678/detalle,ANA CRISTINA LAHUERTA MARTINEZ,COLABORA_EN,internacionalización,La Universidad de Oviedo ha participado en las II Jornadas de Buenas Prácticas en Internacionalización en Casa.,9
https://portalinvestigacion.uniovi.es/investigadores/217678/detalle,ANA CRISTINA LAHUERTA MARTINEZ,LIDERA,internacionalización,"la participación de la Universidad de Oviedo en estas jornadas 'reafirma el compromiso con un modelo de internacionalización abierto, integrador y accesible'.",9
