investigador_id,nombre_investigador,relacion,topico,evidencia,noticia_index
https://portalinvestigacion.uniovi.es/investigadores/217791/detalle,PEDRO LORCA FERNANDEZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"""La conservación de sus registros contables nos permite observar con gran detalle la realidad económica de una empresa pionera en pleno proceso de industrialización"".",1
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"""Lo más llamativo es comprobar que, con un sistema contable aparentemente simple, la compañía era capaz de generar información suficiente para supervisar la actividad y rendir cuentas a sus propietarios"".",1
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,contabilidad de la Real Compañía Asturiana de Minas,"""Los resultados muestran que la contabilidad estaba concebida principalmente como una herramienta de registro y control, más que como un instrumento para apoyar la toma de decisiones empresariales"".",1
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,dificultades en la obtención de datos contables,"""Cabe destacar, por último, la enorme dificultad para obtener los datos del estudio, motivada principalmente por los cambios de estilos en la escritura caligráfica"".",1
https://portalinvestigacion.uniovi.es/investigadores/216887/detalle,JAVIER DE ANDRES SUAREZ,INVESTIGA_SOBRE,archivos empresariales privados del siglo XIX,"""Son muy escasos los archivos empresariales privados de la primera mitad del siglo XIX que se han conservado con este nivel de detalle"".",1
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,DESARROLLA,excavaciones arqueológicas,"Margarita Fernández Mier, investigadora principal del grupo.",3
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,INVESTIGA_SOBRE,historia de Cueiru,reconstruir la historia de este extraordinario lugar.,3
https://portalinvestigacion.uniovi.es/investigadores/217322/detalle,MARIA MARGARITA FERNANDEZ MIER,COLABORA_EN,proyecto ENCOMI,apoyo de la Agencia Estatal de Investigación (proyecto ENCOMI).,3
https://portalinvestigacion.uniovi.es/investigadores/217592/detalle,GABRIELA FERNANDEZ VIEJO,LIDERA,amortiguador geológico natural,"El trabajo ha sido desarrollado por seis investigadores del Departamento de Geología, liderados por los catedráticos Gabriela Fernández-Viejo.",5
https://portalinvestigacion.uniovi.es/investigadores/217761/detalle,CARLOS LOPEZ FERNANDEZ,COLABORA_EN,amortiguador geológico natural,"El estudio está firmado por los investigadores Carlos López-Fernández, Jorge Acevedo, Gabriela Fernández-Viejo, Sergio Llana-Fúnez, Miguel Gutiérrez-Medina y Juan Manuel González-Cortina.",5
https://portalinvestigacion.uniovi.es/investigadores/217738/detalle,SERGIO LLANA FUNEZ,LIDERA,amortiguador geológico natural,"El trabajo ha sido desarrollado por seis investigadores del Departamento de Geología, liderados por los catedráticos Sergio Llana-Fúnez.",5
https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,LIDERA,tesis doctoral,"La tesis doctoral de la investigadora Clara Ramón Álvarez, desarrollada en la Universidad de Oviedo, ha sido premiada.",6
https://portalinvestigacion.uniovi.es/investigadores/217085/detalle,FRANCISCO JAVIER CUEVAS MAESTRO,LIDERA,tesis doctoral,"El trabajo forma parte de un programa de investigación enfocado, coherente y de alto impacto, desarrollado durante el período de doctorado.",6
https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,LIDERA,tesis doctoral,Clara Ramón Álvarez agradece la implicación de sus directores y del Grupo de Física Experimental de Altas Energías del ICTEA.,6
https://portalinvestigacion.uniovi.es/investigadores/217085/detalle,FRANCISCO JAVIER CUEVAS MAESTRO,COLABORA_EN,CMS del Gran Colisionador de Hadrones,...complementado con una contribución muy destacada en responsabilidades dentro de la colaboración con el CMS del Gran Colisionador de Hadrones del CERN.,6
https://portalinvestigacion.uniovi.es/investigadores/217636/detalle,JAVIER FERNANDEZ MENENDEZ,COLABORA_EN,CMS del Gran Colisionador de Hadrones,...complementado con una contribución muy destacada en responsabilidades dentro de la colaboración con el CMS del Gran Colisionador de Hadrones del CERN.,6
https://portalinvestigacion.uniovi.es/investigadores/216978/detalle,JOSE ANTONIO CECCHINI ESTRADA,INVESTIGA_SOBRE,educación y actividad física,"su aportación al impulso de la investigación en actividad física, educación y medicina del deporte.",14
https://portalinvestigacion.uniovi.es/investigadores/218896/detalle,MIGUEL ENRIQUE DEL VALLE SOTO,INVESTIGA_SOBRE,medicina del deporte,"su aportación al impulso de la investigación en actividad física, educación y medicina del deporte.",14
https://portalinvestigacion.uniovi.es/investigadores/217029/detalle,ALBERTO FERNANDEZ COSTALES,COLABORA_EN,inteligencia artificial en la enseñanza de lenguas,El CIICEL 2026 nace con el objetivo de fortalecer la colaboración entre investigadores y docentes.,16
https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,Borja Jiménez-Alfaro,COLABORA_EN,restauración ecológica,Investigadores de la Universidad de Oviedo han identificado varias especies de plantas nativas con un elevado potencial para la restauración ecológica de espacios urbanos degradados.,17
https://portalinvestigacion.uniovi.es/investigadores/2370717/detalle,EDUARDO FERNANDEZ ALONSO,COLABORA_EN,restauración basada en semillas,"Este estudio forma parte de una línea de investigación más amplia desarrollada por la Universidad de Oviedo sobre el uso de semillas nativas en conservación, restauración ecológica y renaturalización urbana.",17
https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA,DESARROLLA,traducción audiovisual,DubbiOvi ha sido desarrollada por el profesor Alfonso Carlos Rodríguez Fernández-Peña.,18
https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA,INVESTIGA_SOBRE,inteligencia artificial en traducción,incorpora inteligencia artificial para agilizar los procesos de traducción y adaptación de contenidos audiovisuales.,18
https://portalinvestigacion.uniovi.es/investigadores/218353/detalle,ALFONSO CARLOS RODRIGUEZ FERNANDEZ-PEÑA,COLABORA_EN,tecnologías del lenguaje,la plataforma constituye una herramienta de apoyo para proyectos de investigación relacionados con la traducción audiovisual.,18
https://portalinvestigacion.uniovi.es/investigadores/1010245/detalle,MARINA BARGON GARCIA,LIDERA,recuperación de vías de transporte históricas,dirigido por las profesoras Rita Ruiz Fernández y Marina Bargón García,21
https://portalinvestigacion.uniovi.es/investigadores/218311/detalle,PEDRO PLASENCIA LOZANO,LIDERA,recuperación de vías de transporte históricas,dirigido por las profesoras Rita Ruiz Fernández y Marina Bargón García,21
https://portalinvestigacion.uniovi.es/investigadores/217678/detalle,ANA CRISTINA LAHUERTA MARTINEZ,DESARROLLA,competencia intercultural,"la lección inaugural, titulada «Interculturalidad, plurilingüismo y comunicación multimodal», a cargo de Rosabel San Segundo Cachero, profesora del Área de Lengua Española del Departamento de Filología Española.",22
https://portalinvestigacion.uniovi.es/investigadores/2355302/detalle,NOEMI PINILLA ALONSO,COLABORA_EN,Divulgación científica,"Noemí Pinilla Alonso, investigadora ATRAE de la Universidad de Oviedo, propone que el asteroide lleve el nombre de Gonzálezalegre.",23
https://portalinvestigacion.uniovi.es/investigadores/217370/detalle,CARLOS GONZALEZ GUTIERREZ,DESARROLLA,herramientas tecnológicas,"...destaca el avance del Campus Digital Compartido, que continúa desarrollando herramientas tecnológicas comunes para las universidades del consorcio...",29
https://portalinvestigacion.uniovi.es/investigadores/1010415/detalle,SAUL SAL SARRIA,INVESTIGA_SOBRE,neurociencia de la toma de decisiones,"el artículo explora, desde la neurociencia de la toma de decisiones, por qué las sociedades tienen dificultades para reaccionar ante tecnologías con riesgos potencialmente existenciales.",30
https://portalinvestigacion.uniovi.es/investigadores/218344/detalle,MIGUEL ANGEL RODRIGUEZ DIAZ,INVESTIGA_SOBRE,neurociencia,otro artículo del investigador de la institución académica asturiana Miguel Ángel Rodríguez Rodríguez se ha situado entre los diez finalistas.,30
https://portalinvestigacion.uniovi.es/investigadores/217233/detalle,ANDRE CARRASCAL INCERA,COLABORA_EN,Cátedra de Innovación,"El director de la Cátedra de Innovación, Fernando Rubiera, y profesor de la universidad e investigador de la Cátedra André Carrascal han presentado el informe.",32
https://portalinvestigacion.uniovi.es/investigadores/219668/detalle,FERNANDO RUBIERA MOROLLON,COLABORA_EN,Cátedra de Innovación,"El director de la Cátedra de Innovación, Fernando Rubiera, y profesor de la universidad e investigador de la Cátedra André Carrascal han presentado el informe.",32
https://portalinvestigacion.uniovi.es/investigadores/217949/detalle,RUBEN MARTIN PAYO,LIDERA,LOT (Learning Outcomes Tool),"El primer puesto ha correspondido al proyecto LOT (Learning Outcomes Tool), que crea una herramienta para que el estudiantado evalúe su conocimiento de una materia.",34
https://portalinvestigacion.uniovi.es/investigadores/218575/detalle,MARIA JOSE SUAREZ FERNANDEZ,COLABORA_EN,DEVA – Desarrollo de videojuegos orientados al aprendizaje,El segundo ha distinguido a DEVA – Desarrollo de videojuegos orientados al aprendizaje en enseñanzas técnicas.,34
https://portalinvestigacion.uniovi.es/investigadores/217019/detalle,MARIA DEL MAR FERNANDEZ ALVAREZ,COLABORA_EN,Uso responsable de la inteligencia artificial,Un programa sobre el uso responsable y reflexivo de la inteligencia artificial en el aprendizaje universitario.,34
https://portalinvestigacion.uniovi.es/investigadores/217019/detalle,MARIA DEL MAR FERNANDEZ ALVAREZ,COLABORA_EN,Perspectiva de género en IA,Con especial atención al impacto de la IA en la autoestima del estudiantado y con perspectiva de género.,34
https://portalinvestigacion.uniovi.es/investigadores/1010304/detalle,PABLO GARCIA MARCOS,DESARROLLA,gestión energética,propuesta un nuevo modelo de gestión energética para edificios residenciales que optimiza el consumo eléctrico a nivel comunitario.,40
https://portalinvestigacion.uniovi.es/investigadores/217898/detalle,MANUEL HERNANDEZ MUÑIZ,COLABORA_EN,exposición sobre análisis input-output,"Manuel Hernández Muñiz, ... a cargo de profesores de la Facultad.",41
https://portalinvestigacion.uniovi.es/investigadores/219168/detalle,ESTEBAN FERNANDEZ VAZQUEZ,COLABORA_EN,exposición sobre análisis input-output,"Esteban Fernández Vázquez, ... a cargo de profesores de la Facultad.",41
https://portalinvestigacion.uniovi.es/investigadores/217233/detalle,ANDRE CARRASCAL INCERA,COLABORA_EN,exposición sobre análisis input-output,"André Carrascal Incera, ... a cargo de profesores de la Facultad.",41
https://portalinvestigacion.uniovi.es/investigadores/218037/detalle,MARIA DEL CARMEN RAMOS CARVAJAL,COLABORA_EN,exposición sobre análisis input-output,"María del Carmen Ramos Carbajal, ... a cargo de profesores de la Facultad.",41
https://portalinvestigacion.uniovi.es/investigadores/217196/detalle,FRANCISCO JAVIER DE COS JUEZ,INVESTIGA_SOBRE,eclipse solar,...artículos de los investigadores Javier de Cos... sobre qué vamos a ver el 12 de agosto y la explicación científica del fenómeno.,42
https://portalinvestigacion.uniovi.es/investigadores/217196/detalle,FRANCISCO JAVIER DE COS JUEZ,COLABORA_EN,guía divulgativa sobre el eclipse,...la completa con dos artículos de los investigadores Javier de Cos...,42
